start	end	text
68	1791	Gracias.
1791	3733	Gracias a ti, Estefanía.
3733	7299	Entonces, como te compartía, vamos a aperturar un expediente.
8060	35420	donde se te van a tomar datos personales los cuales se quedan resguardados de manera confidencial aquí en la unidad y también que me compartas que te traía acá con nosotros yo voy a iniciar a aplicar esta entrevista si tú tienes alguna duda me lo puedes comentar en cualquier momento aparte de lo que te referí respecto a nuestros servicios estos tampoco se te van a cobrar no gracias a ti me interesa saber si traes alguna lesión o alguna emergencia médica
36669	39050	¿Te encuentras embarazada en este momento?
39050	40510	No.
40510	42451	¿Cuál es tu fecha de nacimiento?
42451	45092	19 de septiembre del 82.
45092	50434	¿Te identificas como femenina, mujer?
50434	51694	Sí.
51694	52975	Gracias.
52975	54055	¿Tu nacionalidad?
54055	56116	¿Dónde es que tú naciste?
56116	59557	Nací en México, soy mexicana.
59557	61878	Y bueno, nací... ¿En qué estado?
62583	66965	Nací en la Ciudad de México hace un día que no estaba de vacaciones.
66965	67806	¿Por la suerte?
67806	70107	Sí.
70107	74189	Toda mi vida he vivido aquí.
74189	76611	Radicas entonces entidad federativa Jalisco.
76611	77031	Sí.
77031	84995	El teléfono que tomé de tu registro 33 18 79 60 79 me interesa preguntarte si podemos darte seguimiento vía whatsapp y telefónica en caso de ser necesario.
84995	85035	Sí.
85035	85595	Muchas gracias.
91028	95173	De tu domicilio, calle Campo Castillo, número 1139.
95173	97135	¿Cuáles son los cruces de tu domicilio?
97135	106065	Creo que es Campo Real Oriente y el otro no me acuerdo honestamente.
106065	106886	No te preocupes.
106886	110270	¿Alguna referencia para ubicar mejor tu casa?
110270	112032	Enfrente del Coto Fátima.
120353	128595	Tome de tu registro que es en el estado de Jalisco, municipio de Zapopar, colonia o localidad, Campo Real.
128595	130456	Sí, es fraccionamiento Campo Real.
130456	137157	Ok, le vamos a leer qué es fraccionamiento.
137157	137717	Gracias.
137717	139598	¿Tu escolaridad cuál es?
139598	144239	He estudiado una maestría en el extranjero pero todavía no la he homologado.
147957	154983	Mi licenciatura y maestría me becaron en otro país.
154983	156084	¿Está inconcluso?
156084	160207	No, no está inconcluso, solo que no lo he homologado.
160207	167853	Por lo que entiendo no puedo ostentar un título que no está homologado hasta que esté homologado.
167853	174538	Pero en otro país tengo maestría.
174538	176640	¿Tienes seguridad social en este momento?
178227	180028	¿A qué te dedicas actualmente?
180028	189635	Soy cantante profesional.
189635	191316	¿Tu estado civil?
191316	197301	Vivo con mi pareja, pero no estoy casada.
197301	199342	¿Desde hace cuánto tiempo vives en un hogar libre?
199342	200743	Cuatro años.
200743	201724	Un poco más de cuatro años.
208222	211543	¿Viven en casa propia, rentada, prestada o compartida?
211543	216685	Compartida con mi papá.
216685	217506	¿La venta?
217506	221987	No, la casa recién, esa de mi papá.
221987	224708	¿Cuántas personas viven en ese domicilio?
224708	228050	Tres.
